Date,Close
8/17/2018,30.07
8/20/2018,30.65
8/21/2018,31.05
8/22/2018,31.22
8/23/2018,30.59
8/24/2018,30.95
8/27/2018,30.66
8/28/2018,30.8
8/29/2018,30.77
8/30/2018,29.41
8/31/2018,29.68
9/4/2018,29.3
9/5/2018,29.4
9/6/2018,29.66
9/7/2018,29.06
9/10/2018,28.92
9/11/2018,28.42
9/12/2018,28.73
9/13/2018,28.68
9/14/2018,28.9
9/17/2018,29.09
9/18/2018,29.71
9/19/2018,29.85
9/20/2018,29.85
9/21/2018,29.13
9/24/2018,29.43
9/25/2018,30.21
9/26/2018,29.8
9/27/2018,30.06
9/28/2018,30.48
10/1/2018,30.25
10/2/2018,29.57
10/3/2018,29.9
10/4/2018,29.92
10/5/2018,29.4
10/8/2018,29.51
10/9/2018,29.22
10/10/2018,28.07
10/11/2018,28.15
10/12/2018,28.62
10/15/2018,27.97
10/16/2018,27.63
10/17/2018,28.19
10/18/2018,27.92
10/19/2018,27.59
10/22/2018,27.74
10/23/2018,26.77
10/24/2018,25.44
10/25/2018,26.53
10/26/2018,25.75
10/29/2018,25.36
10/30/2018,25.32
10/31/2018,26.53
11/1/2018,27.17
11/2/2018,27.97
11/5/2018,28.86
11/6/2018,29.06
11/7/2018,29.35
11/8/2018,28.32
11/9/2018,27.69
11/12/2018,27.18
11/13/2018,27.22
11/14/2018,27.14
11/15/2018,27.55
11/16/2018,27.72
11/19/2018,27.28
11/20/2018,25.71
11/21/2018,26.3
11/23/2018,25.72
11/26/2018,25
11/27/2018,22.92
11/28/2018,23.41
11/29/2018,23.15
11/30/2018,23.06
12/3/2018,23.76
12/4/2018,22.57
12/6/2018,22.01
12/7/2018,21.31
12/10/2018,20.82
12/11/2018,20.52
12/12/2018,20.7
12/13/2018,20.21
12/14/2018,20.02
12/17/2018,19.83
12/18/2018,20.06
12/19/2018,18.82
12/20/2018,18.48
12/21/2018,18.19
12/24/2018,17.27
12/26/2018,18.4
12/27/2018,18.36
12/28/2018,18.25
12/31/2018,18.24
1/2/2019,18.51
1/3/2019,18.48
1/4/2019,20.34
1/7/2019,20.45
1/8/2019,20.7
1/9/2019,20.84
1/10/2019,20.99
1/11/2019,21.04
1/14/2019,20.82
1/15/2019,20.19
1/16/2019,20.63
1/17/2019,21.22
1/18/2019,21.5
1/22/2019,20.87
1/23/2019,20.63
1/24/2019,20.71
1/25/2019,21.64
1/28/2019,21.71
1/29/2019,21.31
1/30/2019,22.22
1/31/2019,22.54
2/1/2019,22.04
2/4/2019,22.67
2/5/2019,23.09
2/6/2019,23.17
2/7/2019,22.57
2/8/2019,21.95
2/11/2019,22.57
2/12/2019,22.81
2/13/2019,22.75
2/14/2019,22.65
2/15/2019,22.92
2/19/2019,23.03
2/20/2019,24
2/21/2019,24.12
2/22/2019,24.1
2/25/2019,23.94
2/26/2019,23.9
2/27/2019,23.74
2/28/2019,22.41
3/1/2019,22.3
3/4/2019,22.24
3/5/2019,21.9
3/6/2019,20.58
3/7/2019,20
3/8/2019,19.25
3/11/2019,20.01
3/12/2019,20.42
3/13/2019,20.36
3/14/2019,19.78
3/15/2019,19.66
3/18/2019,19.79
3/19/2019,19.98
3/20/2019,19.78
3/21/2019,20.3
3/22/2019,19.09
3/25/2019,19.1
3/26/2019,19.22
3/27/2019,19.15
3/28/2019,19.38
3/29/2019,19.49
4/1/2019,20.15
4/2/2019,19.93
4/3/2019,20.04
4/4/2019,19.95
4/5/2019,19.84
4/8/2019,19.74
4/9/2019,17.77
4/10/2019,17.25
4/11/2019,16.69
4/12/2019,16.74
4/15/2019,16.71
4/16/2019,16.76
4/17/2019,16.66
4/18/2019,16.42
4/22/2019,16.11
4/23/2019,16.15
4/24/2019,16.1
4/25/2019,15.68
4/26/2019,15.67
4/29/2019,15.8
4/30/2019,15.6
5/1/2019,15.27
5/2/2019,14.39
5/3/2019,16.88
5/6/2019,16.63
5/7/2019,16.41
5/8/2019,15.4
5/9/2019,15.8
5/10/2019,15.66
5/13/2019,14.72
5/14/2019,15.11
5/15/2019,15.06
5/16/2019,14.86
5/17/2019,14.59
5/20/2019,14.26
5/21/2019,14.9
5/22/2019,14.25
5/23/2019,13.7
5/24/2019,13.63
5/28/2019,13.26
5/29/2019,12.85
5/30/2019,12.21
5/31/2019,11.82
6/3/2019,12.52
6/4/2019,13.29
6/5/2019,13.09
6/6/2019,13.21
6/7/2019,13.58
6/10/2019,13.8
6/11/2019,13.99
6/12/2019,13.75
6/13/2019,14.27
6/14/2019,13.78
6/17/2019,13.96
6/18/2019,14.58
6/19/2019,15.17
6/20/2019,14.55
6/21/2019,14.67
6/24/2019,14.45
6/25/2019,14.93
6/26/2019,15.25
6/27/2019,15.11
6/28/2019,15.31
7/1/2019,15.25
7/2/2019,14.68
7/3/2019,14.59
7/5/2019,14.75
7/8/2019,13.59
7/9/2019,13.73
7/10/2019,13.47
7/11/2019,13.79
7/12/2019,14.15
7/15/2019,14.61
7/16/2019,15.13
7/17/2019,14.94
7/18/2019,14.68
7/19/2019,15.07
7/22/2019,15.38
7/23/2019,15.62
7/24/2019,15.83
7/25/2019,15.28
7/26/2019,15.19
7/29/2019,15.27
7/30/2019,15.71
7/31/2019,15.03
8/1/2019,14.52
8/2/2019,13.27
8/5/2019,12.64
8/6/2019,12.57
8/7/2019,12.28
8/8/2019,12.73
8/9/2019,12.05
8/12/2019,11.67
8/13/2019,11.62
